Group               ,key                                ,English                                                                                                                                                                                                                                                                       ,Spanish                                                                                                                                                                                                                                                        ,German                                                                                                                                                                                                      ,French                                                                                                                                                                                                                 ,Italian
register            ,PT                                 ,Portugal                                                                                                                                                                                                                                                                      ,Portugal                                                                                                                                                                                                                                                       ,Portugal                                                                                                                                                                                                    ,Portugal                                                                                                                                                                                                               ,Portugal
register            ,TR                                 ,Turkey                                                                                                                                                                                                                                                                        ,Turkey                                                                                                                                                                                                                                                         ,Turkey                                                                                                                                                                                                      ,Turkey                                                                                                                                                                                                                 ,Turkey
register            ,IE                                 ,Ireland                                                                                                                                                                                                                                                                       ,Irlanda                                                                                                                                                                                                                                                        ,Ireland                                                                                                                                                                                                     ,Ireland                                                                                                                                                                                                                ,Ireland
register            ,GB                                 ,Great Britain                                                                                                                                                                                                                                                                 ,Great Britain                                                                                                                                                                                                                                                  ,Great Britain                                                                                                                                                                                               ,Great Britain                                                                                                                                                                                                          ,Great Britain
register            ,HU                                 ,Hungary                                                                                                                                                                                                                                                                       ,Hungary                                                                                                                                                                                                                                                        ,Hungary                                                                                                                                                                                                     ,Hungary                                                                                                                                                                                                                ,Hungary
onboardingWelcome   ,header                             ,Let's set up basic information so that<br>you can make shipments                                                                                                                                                                                                              ,Vamos a configurar tu información básica <br> para poder hacer envíos                                                                                                                                                                                          ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
onboardingWelcome   ,steps                              ,It's just two steps that we need to go through to offer you the<br>carrier that best suits your needs                                                                                                                                                                         ,"Son solo dos pasos, los necesitamos para ofrecerte los servicios <br> de transporte que más se adaptan a tus necesidades."                                                                                                                                    ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
onboardingWelcome   ,stepOne                            ,Set parcel details                                                                                                                                                                                                                                                            ,Configurar los detalles del paquete                                                                                                                                                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
onboardingWelcome   ,stepTwo                            ,Set sender's address                                                                                                                                                                                                                                                          ,Configurar la dirección del remitente                                                                                                                                                                                                                          ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
onboardingWelcome   ,startSetUp                         ,Start set up                                                                                                                                                                                                                                                                  ,Comenzar con la configuración                                                                                                                                                                                                                                  ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
onboardingOverview  ,header                             ,Almost there! Please check that the entered information is correct or complete it in order to continue.                                                                                                                                                                       ,"Ya casi estamos. Por favor, comprueba que la información es correcta o complétala para continuar."                                                                                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
onboardingOverview  ,parcelDetails                      ,Parcel details                                                                                                                                                                                                                                                                ,Detalle del paquete                                                                                                                                                                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
onboardingOverview  ,senderAddress                      ,Sender's Address                                                                                                                                                                                                                                                              ,Dirección del remitente                                                                                                                                                                                                                                        ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
onboardingOverview  ,missingInfo                        ,Missing information                                                                                                                                                                                                                                                           ,Faltan datos                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
onboardingOverview  ,parcelData                         ,Weight %s kg | Height %s cm | Width %s cm | Length %s cm                                                                                                                                                                                                                      ,Peso %s kg | Alto %s cm | Ancho %s cm | Largo %s cm                                                                                                                                                                                                            ,Gewicht %s kg | Höhe %s cm | Breite %s cm | Länge %s cm                                                                                                                                                     ,Poids %s kg | Hauteur %s cm | Largeur %s cm | Longueur %s cm                                                                                                                                                           ,Peso %s kg | Altezza %s cm | Largezza %s cm | Lunghezza %s cm
onboardingOverview  ,warehouseData                      ,%s | %s | %s                                                                                                                                                                                                                                                                  ,%s | %s | %s                                                                                                                                                                                                                                                   ,%s | %s | %s                                                                                                                                                                                                ,%s | %s | %s                                                                                                                                                                                                           ,%s | %s | %s
defaultParcel       ,title-onboarding                   ,1. Set parcel details                                                                                                                                                                                                                                                         ,1. Configurar los detalles del paquete                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultParcel       ,description-onboarding             ,We will use this default data for <strong>items that do not have defined dimensions and weight.</strong> You can edit them whenever you like via the settings tab.                                                                                                            ,Utilizaremos estos datos predeterminados <strong>para los artículos que no tengan dimensiones y peso definidos.</strong> Podrás editarlos cuando quieras desde la pestaña de configuración.                                                                    ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultParcel       ,title-config                       ,Default parcel                                                                                                                                                                                                                                                                ,Paquete predeterminado                                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultParcel       ,description-config                 ,We will use this data for <strong>items that do not have defined dimensions and weight.</strong>                                                                                                                                                                              ,Utilizaremos estos datos <strong>para los artículos que no tengan dimensiones y peso definidos.</strong>                                                                                                                                                       ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultParcel       ,weight                             ,Weight                                                                                                                                                                                                                                                                        ,Peso                                                                                                                                                                                                                                                           ,Gewicht                                                                                                                                                                                                     ,Poids                                                                                                                                                                                                                  ,Peso
defaultParcel       ,height                             ,Height                                                                                                                                                                                                                                                                        ,Alto                                                                                                                                                                                                                                                           ,Höhe                                                                                                                                                                                                        ,Hauteur                                                                                                                                                                                                                ,Altezza
defaultParcel       ,width                              ,Width                                                                                                                                                                                                                                                                         ,Ancho                                                                                                                                                                                                                                                          ,Breite                                                                                                                                                                                                      ,Largeur                                                                                                                                                                                                                ,Largezza
defaultParcel       ,length                             ,Length                                                                                                                                                                                                                                                                        ,Largo                                                                                                                                                                                                                                                          ,Länge                                                                                                                                                                                                       ,Longueur                                                                                                                                                                                                               ,Lunghezza
defaultWarehouse    ,title-onboarding                   ,2. Set sender’s address                                                                                                                                                                                                                                                       ,2. Configurar la dirección del remitente                                                                                                                                                                                                                       ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,description-onboarding             ,We will use this address to create <strong>a default sender for all shipments.</strong> You will be able to edit it whenever you wish via the settings tab.                                                                                                                   ,Utilizaremos esta dirección para crear un <strong>remitente por defecto que valga para todos los envíos.</strong> Podrás editarla cuando quieras desde la pestaña de configuración.                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,title-config                       ,Default sender address                                                                                                                                                                                                                                                        ,Dirección del remitente por defecto                                                                                                                                                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,description-config                 ,We will use this address to create <strong>a default sender for all shipments.</strong> You can edit it at any time.                                                                                                                                                          ,Utilizaremos esta <strong>dirección para crear un remitente por defecto</strong> que valga para todos los envíos.                                                                                                                                              ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,alias                              ,Sender name                                                                                                                                                                                                                                                                   ,Nombre del almacén                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,alias-placeholder                  ,Main warehouse                                                                                                                                                                                                                                                                ,Almacen principal                                                                                                                                                                                                                                              ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,name                               ,Name of contact person                                                                                                                                                                                                                                                        ,Nombre de la persona de contacto                                                                                                                                                                                                                               ,Name der Kontaktperson                                                                                                                                                                                      ,Prénom de la personne à contacter                                                                                                                                                                                      ,Nome della persona di contatto
defaultWarehouse    ,name-placeholder                   ,Name                                                                                                                                                                                                                                                                          ,Nombe de la persona                                                                                                                                                                                                                                            ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,surname                            ,Surname of contact person                                                                                                                                                                                                                                                     ,Apellido de la persona de contacto                                                                                                                                                                                                                             ,Nachname der Kontaktperson                                                                                                                                                                                  ,Nom de la personne à contacter                                                                                                                                                                                         ,Cognome della persona di contatto
defaultWarehouse    ,surname-placeholder                ,surname                                                                                                                                                                                                                                                                       ,Apellido de la persona                                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,company                            ,Company name                                                                                                                                                                                                                                                                  ,Nombre de la empresa                                                                                                                                                                                                                                           ,Unternehmen                                                                                                                                                                                                 ,Nom de l'entreprise                                                                                                                                                                                                    ,Nome dell'azienda
defaultWarehouse    ,company-placeholder                ,Company                                                                                                                                                                                                                                                                       ,Empresa S.A.                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,country                            ,Country                                                                                                                                                                                                                                                                       ,País                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,postal_code                        ,City or postcode                                                                                                                                                                                                                                                              ,Ciudad o código postal                                                                                                                                                                                                                                         ,Stadt oder Postleitzahl                                                                                                                                                                                     ,Ville ou code postal                                                                                                                                                                                                   ,Città o codice postale
defaultWarehouse    ,postal_code-placeholder            ,-                                                                                                                                                                                                                                                                             ,-                                                                                                                                                                                                                                                              ,-                                                                                                                                                                                                           ,-                                                                                                                                                                                                                      ,-
defaultWarehouse    ,address                            ,Address                                                                                                                                                                                                                                                                       ,Dirección                                                                                                                                                                                                                                                      ,Straße und Hausnummer                                                                                                                                                                                       ,Adresse                                                                                                                                                                                                                ,Indirizzo
defaultWarehouse    ,address-placeholder                ,Address                                                                                                                                                                                                                                                                       ,Dirección                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,phone                              ,Phone number                                                                                                                                                                                                                                                                  ,Número de teléfono                                                                                                                                                                                                                                             ,Telefonnummer                                                                                                                                                                                               ,Numéro de téléphone                                                                                                                                                                                                    ,Numero di telefono
defaultWarehouse    ,phone-placeholder                  ,123 456 7777                                                                                                                                                                                                                                                                  ,123 456 7777                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
defaultWarehouse    ,email                              ,Email                                                                                                                                                                                                                                                                         ,Correo electrónico                                                                                                                                                                                                                                             ,E-Mail-Adresse                                                                                                                                                                                              ,Email                                                                                                                                                                                                                  ,Email
defaultWarehouse    ,email-placeholder                  ,youremail@example.com                                                                                                                                                                                                                                                         ,tucorreo@example.com                                                                                                                                                                                                                                           ,                                                                                                                                                                                                            ,                                                                                                                                                                                                                       ,
